,ID,Name,Address,Category,Location,Lat,Lng,Details,Subcategory,Polarity
0,228447,Galliard Residential Ltd,"248-252 Westminster Bridge Rd, London, United Kingdom",accommodation,London,51.500855,-0.118071,http://tour-pedia.org/api/getPlaceDetails?id=228447,-,0
1,228657,Hamptons International Lettings,"Hampton House, High St, London, United Kingdom",accommodation,London,51.425863,-0.220832,http://tour-pedia.org/api/getPlaceDetails?id=228657,-,0
2,228642,Brian Lack & Co Sales & Lettings Estate Agents,"4-6 St Ann's Terrace, London, United Kingdom",accommodation,London,51.534557,-0.171712,http://tour-pedia.org/api/getPlaceDetails?id=228642,-,0
3,228590,Black Katz,"199B W End Ln, West Hampstead, London, United Kingdom",accommodation,London,51.547656,-0.191209,http://tour-pedia.org/api/getPlaceDetails?id=228590,-,0
4,228546,Wimbledon Solicitors,"191 Merton Rd, London, United Kingdom",accommodation,London,51.416712,-0.192656,http://tour-pedia.org/api/getPlaceDetails?id=228546,-,0
5,228537,Atkinson McLeod Canary Wharf Estate Agents,"South Quay Plaza, 3B Marsh Wall, London, United Kingdom",accommodation,London,51.500381,-0.017563,http://tour-pedia.org/api/getPlaceDetails?id=228537,-,0
6,228394,Long Lane Apartment Calico House Of Moli,"199 Long Ln, London, United Kingdom",accommodation,London,51.498813,-0.08517,http://tour-pedia.org/api/getPlaceDetails?id=228394,-,0
7,228386,SO QUARTIER,"Kilburn High Road, London, United Kingdom",accommodation,London,51.540915,-0.196709,http://tour-pedia.org/api/getPlaceDetails?id=228386,-,0
8,228304,FG Property Management,"3a Harrington Rd, London, United Kingdom",accommodation,London,51.493981,-0.175021,http://tour-pedia.org/api/getPlaceDetails?id=228304,-,0
9,228110,The Mermaid Conference & Events Centre,"Puddle Dock, Blackfriars, United Kingdom",accommodation,London,51.511539,-0.101916,http://tour-pedia.org/api/getPlaceDetails?id=228110,-,0
10,228002,Apartments Apart,"4 Greenland Place, London, United Kingdom",accommodation,London,51.538704,-0.141658,http://tour-pedia.org/api/getPlaceDetails?id=228002,-,-
11,228009,Marble Arch,"Marble Arch, London W1H, UK",accommodation,London,51.5133094,-0.1593922,http://tour-pedia.org/api/getPlaceDetails?id=228009,-,-
12,228010,Leicester Square,"Leicester Square, London WC2H, UK",accommodation,London,51.5102474,-0.1306477,http://tour-pedia.org/api/getPlaceDetails?id=228010,-,-
13,228035,Bank Apartments,"Bank Apartments, 38 Friern Barnet Rd, Arnos Grove, London N11 1NA, UK",accommodation,London,51.6157511,-0.1432021,http://tour-pedia.org/api/getPlaceDetails?id=228035,-,-
14,228037,Studios2Let,"Tolmer's Square, London, United Kingdom",accommodation,London,51.526378,-0.137203,http://tour-pedia.org/api/getPlaceDetails?id=228037,-,-
15,228056,Ashley House,"Ashley House, 94 Greencroft Gardens, London NW6 3PH, UK",accommodation,London,51.5432571,-0.1859146,http://tour-pedia.org/api/getPlaceDetails?id=228056,-,-
16,228079,Executive Rooms London Kensington,"36 Hogarth Road, London, United Kingdom",accommodation,London,51.493317,-0.191922,http://tour-pedia.org/api/getPlaceDetails?id=228079,-,-
17,228080,Amsterdam Hotel,"Amsterdam Hotel, 7 Trebovir Rd, Kensington, London SW5 9LS, UK",accommodation,London,51.49234,-0.1945342,http://tour-pedia.org/api/getPlaceDetails?id=228080,-,-
18,228082,30 St Mary Axe - Swiss Re,"30 St Mary Axe - Swiss Re, London EC3A, UK",accommodation,London,51.5144444,-0.0802778,http://tour-pedia.org/api/getPlaceDetails?id=228082,-,-
19,228119,1 Leicester St,"1 Leicester St, Soho, London WC2H 7BP, UK",accommodation,London,51.5155555,-0.1307276,http://tour-pedia.org/api/getPlaceDetails?id=228119,-,-
