,city,month_num,weather_factor,coef,intercept,mae,mse,r2,2022_prediction_inches
0,NYC,1,snowfall,0.04811081652786658,-88.68992734888556,7.0223966933488216,75.77370081581229,-0.14672239913190843,8.590143670460662
1,NYC,2,snowfall,0.10486588810860092,-199.20069110626406,7.420587412156541,74.02676289150506,-0.13128860348320281,12.838134649327003
2,NYC,3,snowfall,-0.023834670435203088,51.45026482551309,4.957436986837042,42.2418180499663,-0.06809779576732411,3.256561205532442
3,NYC,4,snowfall,-0.0032612161613923625,6.688058375387546,1.1898527847177616,7.0499137042046085,-0.1412845285197326,0.09387929705218845
4,NYC,5,snowfall,-0.0,0.0,0.0,0.0,1.0,0.0
5,NYC,6,snowfall,-0.0,0.0,0.0,0.0,1.0,0.0
6,NYC,7,snowfall,-0.0,0.0,0.0,0.0,1.0,0.0
7,NYC,8,snowfall,-0.0,0.0,0.0,0.0,1.0,0.0
8,NYC,9,snowfall,0.0,0.0,0.0,0.0,1.0,0.0
9,NYC,10,snowfall,0.0038289175789534015,-7.514606737548001,0.1386308873792217,0.023599816933694995,0.0,0.22746460709577665
10,NYC,11,snowfall,0.0030358012838883467,-5.545000214936664,0.7807190687284494,2.0239457513512122,0.004978324611483731,0.593389981085573
11,NYC,12,snowfall,-0.01501475898435261,34.951801169255454,4.519822138024029,28.869055497514744,-0.12685370573916965,4.591958502894478
