,Hotel,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Surrey Hotels Corporation,,,,853 Broadway,40.73459,-73.9909799,,
1,Concrete Jungle at The Tillary Hotel,American (New),,,85 Flatbush Ave,40.69661265607699,-73.98453705042085,,
2,Northern Lights Mansion,Bed & Breakfast,,,210 W 122nd St,40.80717,-73.95064,,
3,Urban Cowboy B&B,Bed & Breakfast,,,111 Powers St,40.7123299,-73.9465103,,
4,Hotel Chantelle,Cocktail Bars,3.5,$$,92 Ludlow St,40.71843,-73.98909,https://www.yelp.com/biz/hotel-chantelle-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eVBVn6bjwl_mMLxN-35_6w
5,Hotel Lyn,Homeless Shelters,,,399 3rd Ave,40.67333,-73.98908,,
6,NY Moore Hostel,Hostels,,,179 Moore St,40.704157948494,-73.9376416057348,,
7,Carlton Arms Hotel,Hostels,,,160 E 25th St,40.7402,-73.98268,,
8,The Local Hostel,Hostels,,,1302 44th Ave,40.7495386,-73.9479673,,
9,Residence Inn By Marriot Weehawken Port Imperial,Hotels,3.5,$$,100 Ferry Blvd,40.7777164892959,-74.0113274353321,https://www.yelp.com/biz/residence-inn-by-marriot-weehawken-port-imperial-weehawken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JkG2GeXceILNzz2FvTZopQ
10,Ramada by Wyndham Bronx,Hotels,3.0,$,1000 Baychester Ave,40.879948,-73.831483,https://www.yelp.com/biz/ramada-by-wyndham-bronx-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1RB0izXOTPJs17dTE9Uwtg
11,Haven Motel,Hotels,1.5,$,6805 Woodhaven Blvd,40.715418,-73.860051,https://www.yelp.com/biz/haven-motel-rego-park-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H55p2gOiiwOiz2jQ8Syj9g
12,Moderhaus SoHo,Hotels,3.0,$$$,27 Grand St,40.72268,-74.0048,https://www.yelp.com/biz/moderhaus-soho-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AWOfrU0MdDMZzIWL3uGTYQ
13,Henry Norman Hotel,Hotels,4.0,$$,251 N Henry St,40.7280006,-73.9442368,https://www.yelp.com/biz/henry-norman-hotel-greenpoint?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nzv7QCUPH-QKzNHfUnsN8w
14,Hotel Indigo Williamsburg - Brooklyn,Hotels,,,500 Metropolitan Ave,40.7138775705954,-73.9522615169777,,
15,Archer Hotel New York,Hotels,4.5,$$$,45 W 38th St,40.752053,-73.9847066,https://www.yelp.com/biz/archer-hotel-new-york-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZDp1ysOVW3xQJc4SuQGSCg
16,Holiday Inn Brooklyn Downtown,Hotels,,,300 Schermerhorn St,40.68749404547364,-73.98267891987635,,
17,Americana Inn,Hotels,3.0,$,69 W 38th St,40.75223,-73.98551,https://www.yelp.com/biz/americana-inn-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wiskeP0gLzntDeBHLyk1mw
18,Kimpton Ink48 Hotel,Hotels,4.0,$$$,653 11th Ave,40.76452,-73.99586,https://www.yelp.com/biz/kimpton-ink48-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,29qq6ZOCfxXb7TZ7W5UslQ
19,Franklin Guesthouse,Hotels,4.5,$$$,214 Franklin St,40.733066,-73.957824,https://www.yelp.com/biz/franklin-guesthouse-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2v7nK-2QnwwlDBwA_s3Bxw
20,Phoenix Hotel,Hotels,1.5,$,517 39th St,40.6510124,-74.0032181,https://www.yelp.com/biz/phoenix-hotel-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NYKUI__MUh0Gh4QYmrt98w
21,"The Ritz-Carlton New York, Central Park",Hotels,4.0,$$$$,50 Central Park S,40.76525,-73.97604,https://www.yelp.com/biz/the-ritz-carlton-new-york-central-park-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C56chiGa56B-hwM4JYS4BA
22,Bowery Grand Hotel,Hotels,2.0,$,143 Bowery,40.7191331533521,-73.9945376754561,https://www.yelp.com/biz/bowery-grand-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j3wayJ0tNwVHVwgyAx6NdQ
23,Hotel Indigo Brooklyn,Hotels,3.0,$$,229 Duffield St,40.691251,-73.984102,https://www.yelp.com/biz/hotel-indigo-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5YpMlQZEsCYcz5gAtrZOmQ
