,Names,Geometry,Address,Lattitude,Longitude,Category
0,O'reilly William & Co Ltd,POINT (-73.96273074561996 40.773800871637576),52 E 76th St,40.773800871637576,-73.96273074561996,Art_Gallery
1,Organization of Independent Artists - Gallery 402,POINT (-74.0093857886298 40.71646850931738),19 Hudson St.,40.71646850931738,-74.0093857886298,Art_Gallery
2,Owen Gallery,POINT (-73.96435178145856 40.7740008522409),19 E 75th St,40.7740008522409,-73.96435178145856,Art_Gallery
3,P P O W Gallerie,POINT (-74.00389261044238 40.74958540084406),511 W 25th St,40.74958540084406,-74.00389261044238,Art_Gallery
4,P P O W Inc,POINT (-74.00176389614576 40.72290742771331),476 Broome St,40.72290742771331,-74.00176389614576,Art_Gallery
5,P S 122 Gallery,POINT (-73.98437148002196 40.72816774159305),150 1st Ave,40.72816774159305,-73.98437148002196,Art_Gallery
6,Pace Editions,POINT (-73.99437670706857 40.73920194963794),44 W 18th St,40.73920194963794,-73.99437670706857,Art_Gallery
7,Pace MacGill Gallery,POINT (-73.97202174911459 40.76194965113893),32 E. 57th St.,40.76194965113893,-73.97202174911459,Art_Gallery
8,Pace Prints & Primitive Gallery,POINT (-73.97211461855828 40.76183646853851),32 E. 57th St.,40.76183646853851,-73.97211461855828,Art_Gallery
9,Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),534 W 25th St,40.749448279774704,-74.00495117630976,Art_Gallery
10,Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),32 E 57th St,40.761886074501135,-73.97207691758459,Art_Gallery
11,Paige's Art Gallery,POINT (-73.95927392718306 40.815000699601086),3163 Broadway,40.815000699601086,-73.95927392718306,Art_Gallery
12,PaineWebber Gallery,POINT (-73.98058386642786 40.76118894257876),1285 Sixth Ave.,40.76118894257876,-73.98058386642786,Art_Gallery
13,Paint Can Studios,POINT (-73.92794008275476 40.755157871293065),3608 34th St,40.755157871293065,-73.92794008275476,Art_Gallery
14,Paley Barbara K,POINT (-73.98148007125768 40.76637001937273),1776 Broadway,40.76637001937273,-73.98148007125768,Art_Gallery
15,Pall William Inc,POINT (-73.96481233836307 40.764508738680895),188 E 64th St,40.764508738680895,-73.96481233836307,Art_Gallery
16,Palmer Meredith Gallery,POINT (-73.95482248967467 40.78563341564519),40 E 94th St,40.78563341564519,-73.95482248967467,Art_Gallery
17,Pandora Old Masters,POINT (-73.9608164118453 40.76789235225353),212 E 70th St,40.76789235225353,-73.9608164118453,Art_Gallery
18,Pardo Sheenan Galleries Ltd,POINT (-73.98156101599031 40.74489610149597),121 E 31st St,40.74489610149597,-73.98156101599031,Art_Gallery
19,Parker's Box,POINT (-73.9604447082016 40.714309158269266),193 Grand St,40.714309158269266,-73.9604447082016,Art_Gallery
20,Parsons Galleries,POINT (-73.9947818620198 40.73539495311296),2 W. 13th St.,40.73539495311296,-73.9947818620198,Art_Gallery
21,Patricia Laligant Photographs,POINT (-73.99282054710083 40.74676020721873),150 W 28th St,40.74676020721873,-73.99282054710083,Art_Gallery
22,Patrick's Gallery,POINT (-73.99851017182027 40.741868777110206),220 W 19th St,40.741868777110206,-73.99851017182027,Art_Gallery
23,Paul Kasmin Gallery,POINT (-74.00272285706035 40.75019275007833),293 10th Ave,40.75019275007833,-74.00272285706035,Art_Gallery
24,Paula Cooper Gallery,POINT (-74.0068977266516 40.74691990132535),534 W. 21st St.,40.74691990132535,-74.0068977266516,Art_Gallery
25,Peck Ian Fine Paintings Ltd,POINT (-73.9636501275563 40.77476053223472),980 Madison Ave,40.77476053223472,-73.9636501275563,Art_Gallery
26,Peder Bonnier Inc,POINT (-73.99623914232185 40.7440599458188),206 W 23rd St,40.7440599458188,-73.99623914232185,Art_Gallery
27,Perimeter Gallery,POINT (-74.00389939402838 40.74938125319496),511 W 25th St,40.74938125319496,-74.00389939402838,Art_Gallery
28,Perlow Rich Katharina Gallery Inc,POINT (-73.97163996489826 40.76236540983018),41 E 57th St,40.76236540983018,-73.97163996489826,Art_Gallery
29,Peter L Villa Fine Art,POINT (-73.97029437215403 40.761169700561084),110 E 57th St,40.761169700561084,-73.97029437215403,Art_Gallery
30,Peter Rose Gallery,POINT (-73.96690494675263 40.760575546804205),200 E 58th St,40.760575546804205,-73.96690494675263,Art_Gallery
31,Peters Gerald Gallery,POINT (-73.96316937082618 40.775663560369196),24 E 78th St,40.775663560369196,-73.96316937082618,Art_Gallery
32,Phoenix Design Ltd,POINT (-73.77059062315153 40.76366854810639),21415 41st Ave,40.76366854810639,-73.77059062315153,Art_Gallery
33,Phoenix Gallery,POINT (-74.00599166531202 40.749775251812174),210 ELEVENTH AVENUE,40.749775251812174,-74.00599166531202,Art_Gallery
34,Phoneup,POINT (-73.9950260483218 40.71651671861807),55 Chrystie St,40.71651671861807,-73.9950260483218,Art_Gallery
35,Photo & Art Gallery,POINT (-73.75339446579802 40.60296210069956),1023 Beach 20th St,40.60296210069956,-73.75339446579802,Art_Gallery
36,Photo Collection Gagliardi,POINT (-73.99269646708568 40.7406376655353),27 W 20th St,40.7406376655353,-73.99269646708568,Art_Gallery
37,Photo District Gallery,POINT (-73.99310574442202 40.74080485280703),37 W 20th St,40.74080485280703,-73.99310574442202,Art_Gallery
38,Phyllis Lucas Gallery Inc,POINT (-73.96795085870986 40.75614508447523),981 2nd Ave,40.75614508447523,-73.96795085870986,Art_Gallery
39,Picture This Corporate Art,POINT (-73.99260350161633 40.68324193641588),249 Smith Street,40.68324193641588,-73.99260350161633,Art_Gallery
40,Pierogi 2000,POINT (-73.95578160004416 40.718750345970065),177 N 9th St,40.718750345970065,-73.95578160004416,Art_Gallery
41,Place Des Vosges,POINT (-73.99094407977347 40.73276121745574),816 Broadway,40.73276121745574,-73.99094407977347,Art_Gallery
42,Plane Space,POINT (-74.00518362849395 40.73439963410778),102 Charles St,40.73439963410778,-74.00518362849395,Art_Gallery
43,Plaster Palace,POINT (-73.98315035383828 40.62575957274058),5305 18th Ave,40.62575957274058,-73.98315035383828,Art_Gallery
44,Plaza Holding Inc,POINT (-73.9757536168505 40.762158820594074),15 W 55th St,40.762158820594074,-73.9757536168505,Art_Gallery
45,Plaza Holding Inc,POINT (-73.97568005712148 40.76226036307528),15 W 55th St,40.76226036307528,-73.97568005712148,Art_Gallery
46,Plaza Watch & Jewelry Exchange,POINT (-73.97867413980654 40.7652614379812),145 W 57th St,40.7652614379812,-73.97867413980654,Art_Gallery
47,Pleiades Gallery,POINT (-74.004770690104 40.74937493397012),530 W 25th St,40.74937493397012,-74.004770690104,Art_Gallery
48,Plum Blossom Gallery,POINT (-74.0053735768785 40.7501763280434),555 W 25th St,40.7501763280434,-74.0053735768785,Art_Gallery
49,Polizzi Fine Art,POINT (-74.02860202478092 40.628876223412206),7813 3rd Ave,40.628876223412206,-74.02860202478092,Art_Gallery
50,Poller Leah,POINT (-73.99973975533851 40.72417671147656),98 Greene St,40.72417671147656,-73.99973975533851,Art_Gallery
51,Portara Gallery,POINT (-73.76753263900895 40.75653978324558),4720A Bell Blvd,40.75653978324558,-73.76753263900895,Art_Gallery
52,Portico Fine Art,POINT (-74.0008266559124 40.724259321517835),139 Spring St,40.724259321517835,-74.0008266559124,Art_Gallery
53,Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),5100 Kings Plz,40.60993574125617,-73.92228135415756,Art_Gallery
54,Postmasters Gallery,POINT (-74.00534660392837 40.745202434263945),459 W 19th St,40.745202434263945,-74.00534660392837,Art_Gallery
55,Praxis International Art,POINT (-73.96513542144585 40.77277684295719),25 E 73rd St,40.77277684295719,-73.96513542144585,Art_Gallery
56,Prieto International Attorney In Fact Johnpoll,POINT (-74.00723565260127 40.71024984423636),127 Fulton St,40.71024984423636,-74.00723565260127,Art_Gallery
57,Prince Street Gallery,POINT (-74.00469480010908 40.749337897473445),530 W 25th St,40.749337897473445,-74.00469480010908,Art_Gallery
58,Professional Fine Arts Svces Inc,POINT (-73.99573169554829 40.74191723417448),141 W 20th St,40.74191723417448,-73.99573169554829,Art_Gallery
59,Proposition the,POINT (-74.00714842024912 40.74820539748208),162 11th Ave,40.74820539748208,-74.00714842024912,Art_Gallery
60,Public Art Fund,POINT (-73.97518753856254 40.760375484073926),1 E. 53d St.,40.760375484073926,-73.97518753856254,Art_Gallery
61,Puerto Rican Work Shop Inc,POINT (-73.94672759344712 40.7926998453047),121 E 106th St,40.7926998453047,-73.94672759344712,Art_Gallery
62,Pushman Gallery Inc,POINT (-73.979913078835 40.76499908899108),154 W 57th St,40.76499908899108,-73.979913078835,Art_Gallery
63,Pytlak Art Studio,POINT (-73.94988527250548 40.71427612774082),573 Metropolitan Ave,40.71427612774082,-73.94988527250548,Art_Gallery
64,Queen Art Publishers Inc,POINT (-74.00979549289632 40.72549195065175),481 Washington St,40.72549195065175,-74.00979549289632,Art_Gallery
65,Questroyal Fine Art,POINT (-73.96001773937685 40.77572380172859),903 Park Ave,40.77572380172859,-73.96001773937685,Art_Gallery
66,Rabenou Yris Ancient Arts,POINT (-73.96383620358236 40.762223977689416),249 E 61st St,40.762223977689416,-73.96383620358236,Art_Gallery
67,Radio House Gallery,POINT (-74.00698522749778 40.75178267196637),601 W 26th St,40.75178267196637,-74.00698522749778,Art_Gallery
68,Rafael Gallery,POINT (-73.96484847311721 40.76106891398838),241 E 59th St,40.76106891398838,-73.96484847311721,Art_Gallery
69,Rainbow Fine Art Inc,POINT (-73.96108478026073 40.77866480998064),15 E 82nd St,40.77866480998064,-73.96108478026073,Art_Gallery
70,Ralph Chait Galleries Inc,POINT (-73.97472467424907 40.76269798806097),724 5th Ave,40.76269798806097,-73.97472467424907,Art_Gallery
71,Randel Gallery Inc,POINT (-73.96194182288089 40.77557044121497),49 East 78th Street,40.77557044121497,-73.96194182288089,Art_Gallery
72,Randolph & Tate Assocs,POINT (-73.98804680373928 40.74435684322828),234 5th Ave,40.74435684322828,-73.98804680373928,Art_Gallery
73,Raphael Fodde Editions,POINT (-73.98997735599107 40.70208740023595),70 WASHINGTON ST,40.70208740023595,-73.98997735599107,Art_Gallery
74,Rare art Gallery,POINT (-74.00368999417438 40.75021572567968),521 W 26th St Bsmt,40.75021572567968,-74.00368999417438,Art_Gallery
75,Raydon Gallery,POINT (-73.96032667632238 40.77833720539059),1091 Madison Ave,40.77833720539059,-73.96032667632238,Art_Gallery
76,Red Dot,POINT (-73.99505920460594 40.74274457506512),140 W 22nd St,40.74274457506512,-73.99505920460594,Art_Gallery
77,Reece Galleries Inc The,POINT (-73.97570995606252 40.7633560679256),24 W 57th St,40.7633560679256,-73.97570995606252,Art_Gallery
78,Reeves Contemporary Inc,POINT (-74.00518820857934 40.74928257893011),535 W 24th St,40.74928257893011,-74.00518820857934,Art_Gallery
79,Regina's Art Center,POINT (-74.00172859190214 40.603379984260826),1921 Benson Ave,40.603379984260826,-74.00172859190214,Art_Gallery
80,Rehs Galleries Inc,POINT (-73.973110440921 40.76297400449145),5 E 57th St,40.76297400449145,-73.973110440921,Art_Gallery
81,Reinhold Brown Gallery,POINT (-73.96068894272547 40.77864024499883),1100 Madison Ave,40.77864024499883,-73.96068894272547,Art_Gallery
82,Renaissance Gallery,POINT (-73.94134747495355 40.82412358361577),300 W 147th St,40.82412358361577,-73.94134747495355,Art_Gallery
83,Resnick Ira Inc,POINT (-73.96881061087802 40.76189452972676),133 E 58th St,40.76189452972676,-73.96881061087802,Art_Gallery
84,Ricco Maresca Gallery,POINT (-74.0068465345964 40.74661224727327),529 W 20th St,40.74661224727327,-74.0068465345964,Art_Gallery
85,Richard Gray Gallery,POINT (-73.96268744300946 40.776035116594834),1018 Madison Ave,40.776035116594834,-73.96268744300946,Art_Gallery
86,Richard Solomon,POINT (-73.96796822375437 40.75490203267615),305 E 50th St,40.75490203267615,-73.96796822375437,Art_Gallery
87,Richard York Gallery,POINT (-73.96884242026259 40.76764185257714),21 E. 65th St.,40.76764185257714,-73.96884242026259,Art_Gallery
88,Rienzo Gallery,POINT (-73.9671517745906 40.769830800695885),20 E 69th St,40.769830800695885,-73.9671517745906,Art_Gallery
89,Ritter-Antik Inc,POINT (-73.99270194219845 40.732504272410424),35 E 10th St,40.732504272410424,-73.99270194219845,Art_Gallery
90,Rivington Bar & Art Gallery,POINT (-73.98443865749057 40.719087479643825),174 Rivington St,40.719087479643825,-73.98443865749057,Art_Gallery
91,Robert Lee Morris Inc,POINT (-74.00236650608144 40.724407088132416),400 W Broadway,40.724407088132416,-74.00236650608144,Art_Gallery
92,Robert Mann Gallery,POINT (-74.00591124427345 40.749743384358574),210 11th Ave,40.749743384358574,-74.00591124427345,Art_Gallery
93,Robert Miller Gallery Inc,POINT (-74.00423398601862 40.74998085501487),526 W 26th St,40.74998085501487,-74.00423398601862,Art_Gallery
94,Robert Steele Gallery,POINT (-74.00398547780941 40.74942345786739),511 W 25th St,40.74942345786739,-74.00398547780941,Art_Gallery
95,Robertson African Arts,POINT (-73.99212377125507 40.7415083515344),36 W 22nd St,40.7415083515344,-73.99212377125507,Art_Gallery
96,Rogallerycom,POINT (-73.95726808829765 40.76970749577403),300 East 74th Street,40.76970749577403,-73.95726808829765,Art_Gallery
97,Ronald Feldman Fine Arts,POINT (-74.00185591328102 40.7211603892599),31 Mercer St,40.7211603892599,-74.00185591328102,Art_Gallery
98,Roosevelt Island Visual Arts Assoc,POINT (-73.95643509706022 40.7535986702466),527 Main St,40.7535986702466,-73.95643509706022,Art_Gallery
99,Rosen Andrea Gallery Inc,POINT (-74.00493762277485 40.74904372260324),525 W 24th St,40.74904372260324,-74.00493762277485,Art_Gallery
100,Rosenberg & Kaufman Fine Art,POINT (-74.00070940720575 40.72502497030408),115 Wooster St,40.72502497030408,-74.00070940720575,Art_Gallery
101,Rosenberg Paul & Co,POINT (-73.96251598937279 40.77623795678713),20 E 79th St,40.77623795678713,-73.96251598937279,Art_Gallery
102,Ross Luise Gallery,POINT (-74.00391752109321 40.74945791536082),511 West 25 Street,40.74945791536082,-74.00391752109321,Art_Gallery
103,Roth,POINT (-73.9625371631743 40.76883963218358),160A E 70th St,40.76883963218358,-73.9625371631743,Art_Gallery
104,Rotunda Gallery,POINT (-73.99146799382999 40.69515733841206),33 Clinton St,40.69515733841206,-73.99146799382999,Art_Gallery
105,Royal Fine Art,POINT (-73.95868741367525 40.77550888584743),1158 Lexington Ave,40.77550888584743,-73.95868741367525,Art_Gallery
106,Royal-Athena Galleries,POINT (-73.96804936659153 40.760786110700764),153 E 57th St,40.760786110700764,-73.96804936659153,Art_Gallery
107,Rudolph De Paola Art Gallery,POINT (-74.02172406852321 40.6179934963939),6 Parrott Pl,40.6179934963939,-74.02172406852321,Art_Gallery
108,Ruesch Jeffrey Fine Arts,POINT (-74.00107130886676 40.72382475175759),134 Spring St,40.72382475175759,-74.00107130886676,Art_Gallery
109,Russeck Gallery,POINT (-74.00056532211813 40.72679315564427),478 W Broadway,40.72679315564427,-74.00056532211813,Art_Gallery
110,Russian World,POINT (-73.97604749164573 40.7619257405724),18 W 55th St,40.7619257405724,-73.97604749164573,Art_Gallery
111,S & A Art Gallery Inc,POINT (-73.95658934527663 40.778446433456885),1248 Lexington Ave,40.778446433456885,-73.95658934527663,Art_Gallery
112,S 2 Editions Ltd,POINT (-74.00479226201507 40.72529481116742),155 Ave of the Americas,40.72529481116742,-74.00479226201507,Art_Gallery
113,S E Art & Design Inc,POINT (-73.96523800836928 40.76074545206315),232 E 59th St,40.76074545206315,-73.96523800836928,Art_Gallery
114,Sabarsky Serge Gallery,POINT (-73.96160396766 40.77589272888765),58 E 79th St,40.77589272888765,-73.96160396766,Art_Gallery
115,Sabbatique Ltd,POINT (-73.97398003703451 40.73684451842),10 Waterside Plz,40.73684451842,-73.97398003703451,Art_Gallery
116,Sabrina Enterprise.Com Artworks Sales and Rprdctns,POINT (-73.86790725213015 40.75905863804786),10022 32nd Ave,40.75905863804786,-73.86790725213015,Art_Gallery
117,Sacks Fine Art,POINT (-73.96475380699054 40.76182788882621),229 East 60th Street,40.76182788882621,-73.96475380699054,Art_Gallery
118,Safani Gallery Inc,POINT (-73.96369840924123 40.77483293527021),980 Madison Ave,40.77483293527021,-73.96369840924123,Art_Gallery
119,Salz Trager Janet,POINT (-73.96550966274957 40.76954041095984),700 Park Ave,40.76954041095984,-73.96550966274957,Art_Gallery
120,Sam's Souk,POINT (-73.96253150655406 40.76945600789786),979 Lexington Ave,40.76945600789786,-73.96253150655406,Art_Gallery
121,Sanada Ikkanart Intl,POINT (-73.9597778376811 40.78007651787356),30 E 85th St,40.78007651787356,-73.9597778376811,Art_Gallery
122,Sands & Company Inc Fine Art At Madison Av,POINT (-73.96342194003462 40.774137804658366),30 E 76th St,40.774137804658366,-73.96342194003462,Art_Gallery
123,Sara Meltzer On View,POINT (-73.99709362546815 40.72470086058279),588 Broadway,40.72470086058279,-73.99709362546815,Art_Gallery
124,Sarafina Inc,POINT (-73.9693726839187 40.69329478591217),411 Myrtle Ave,40.69329478591217,-73.9693726839187,Art_Gallery
125,Sarajo Inc,POINT (-73.99880177429456 40.72527106908656),130 Greene St,40.72527106908656,-73.99880177429456,Art_Gallery
126,Sarina Tang Fine Art,POINT (-74.00525477577852 40.74841075541706),535 W 23rd St,40.74841075541706,-74.00525477577852,Art_Gallery
127,Savacou Galleries,POINT (-73.98626836015879 40.73178217523588),240 E 13th St,40.73178217523588,-73.98626836015879,Art_Gallery
128,Sayn-Wittgenstein,POINT (-73.96141027379505 40.77036690857002),155 E 72nd St,40.77036690857002,-73.96141027379505,Art_Gallery
129,Schellmann Editions,POINT (-74.00585461846735 40.749826941600126),210 11th Ave,40.749826941600126,-74.00585461846735,Art_Gallery
130,Schickler Howard Fine Art,POINT (-73.9899230191079 40.70287471566356),100 Water St,40.70287471566356,-73.9899230191079,Art_Gallery
131,Schillay Fine Art,POINT (-73.95267537512437 40.76613926035685),520 E 72nd St,40.76613926035685,-73.95267537512437,Art_Gallery
132,Schiller & Bodo Fine Art,POINT (-73.96628742693697 40.76612066503104),120 E 65th St,40.76612066503104,-73.96628742693697,Art_Gallery
133,Schlesinger Gallery,POINT (-73.96547437151817 40.77245891705941),24 E 73rd St,40.77245891705941,-73.96547437151817,Art_Gallery
134,Scholten Japanese Art,POINT (-73.96707156094901 40.7677175399878),63 E 66th St,40.7677175399878,-73.96707156094901,Art_Gallery
135,Schonfeld R D & Co Inc,POINT (-73.9669851798845 40.753635380576966),349 E 49th St,40.753635380576966,-73.9669851798845,Art_Gallery
136,Sculpture Center,POINT (-73.94081426624797 40.746921327465024),44-19 Purves St,40.746921327465024,-73.94081426624797,Art_Gallery
137,Sean Kelly Inc,POINT (-74.00306879167971 40.75188382019684),526 W 29th St,40.75188382019684,-74.00306879167971,Art_Gallery
138,Sears-Peyton Gallery,POINT (-74.0057991263059 40.74991739032808),210 11th Ave,40.74991739032808,-74.0057991263059,Art_Gallery
139,Seaside Summer Concert Series Inc,POINT (-73.96089003981638 40.65968268185264),572 Flatbush Ave,40.65968268185264,-73.96089003981638,Art_Gallery
140,Second Ave Art Expo,POINT (-73.96741088497615 40.7558314157737),980 2nd Ave,40.7558314157737,-73.96741088497615,Art_Gallery
141,Seibold Eleanor,POINT (-73.94807967210905 40.77506696449551),1601 York Ave,40.77506696449551,-73.94807967210905,Art_Gallery
142,Senior & Shopmaker,POINT (-73.98681734650098 40.74327330486988),21 E 26th St,40.74327330486988,-73.98681734650098,Art_Gallery
143,Sepia International Inc the,POINT (-73.99450269931272 40.74425012968437),148 W 24th St,40.74425012968437,-73.99450269931272,Art_Gallery
144,Serbin Inna,POINT (-73.95440566613355 40.771111865592246),342 E 77th St,40.771111865592246,-73.95440566613355,Art_Gallery
145,Serger Helen La Boetie,POINT (-73.96122592165297 40.77875554623769),9 E 82ND ST,40.77875554623769,-73.96122592165297,Art_Gallery
146,Seven Colors,POINT (-73.97882343724704 40.755678044060986),555 5th Ave,40.755678044060986,-73.97882343724704,Art_Gallery
147,Shades of Art,POINT (-73.97949383741295 40.68753305466083),47 Flatbush Ave,40.68753305466083,-73.97949383741295,Art_Gallery
148,Shainman Jack Gallery,POINT (-74.006263402563 40.7463655471036),513 W 20th St,40.7463655471036,-74.006263402563,Art_Gallery
149,Shapolsky Anita Gallery,POINT (-73.96455976643841 40.7653957451292),152 E 65th St,40.7653957451292,-73.96455976643841,Art_Gallery
150,Shawn Dulaney Studio,POINT (-73.992055668654 40.74147186911685),34 W 22nd St,40.74147186911685,-73.992055668654,Art_Gallery
151,Shepherd & Derom Galleries,POINT (-73.96166653283252 40.77579398709301),58 E 79th St,40.77579398709301,-73.96166653283252,Art_Gallery
152,Shickman H Gallery,POINT (-73.95972631317878 40.76901768334879),220 E 72nd St,40.76901768334879,-73.95972631317878,Art_Gallery
153,Shulman B & M Inc,POINT (-73.9450654828952 40.600273523844436),2623 Avenue U,40.600273523844436,-73.9450654828952,Art_Gallery
154,Sigrid Freundorfer Fine Art,POINT (-73.96809592587059 40.76848322657679),790 Madison Ave,40.76848322657679,-73.96809592587059,Art_Gallery
155,Silverstein Gallery Inc,POINT (-74.00610391839206 40.7465866957298),520 West 21st St,40.7465866957298,-74.00610391839206,Art_Gallery
156,Simply Marvelous Art,POINT (-73.79975655329956 40.70412220555415),159-15 Jamaica Ave,40.70412220555415,-73.79975655329956,Art_Gallery
157,Skoto Gallery,POINT (-74.00685030055344 40.746676581928234),529 W 20th St,40.746676581928234,-74.00685030055344,Art_Gallery
158,Sloan McGill Collection,POINT (-73.95565084132937 40.65961513441343),150 Midwood St,40.65961513441343,-73.95565084132937,Art_Gallery
159,Smack Mellon Studios,POINT (-73.98985972420431 40.703750736899),92 Plymouth St,40.703750736899,-73.98985972420431,Art_Gallery
160,Smith Gallery,POINT (-74.00265775483314 40.748146010251716),447 W 24th St,40.748146010251716,-74.00265775483314,Art_Gallery
161,Society For Renewal of Christian Art,POINT (-73.96219073494362 40.765647029599016),217 E 66th St,40.765647029599016,-73.96219073494362,Art_Gallery
162,Soho 20,POINT (-74.00383257307128 40.74948117558807),511 W 25th St,40.74948117558807,-74.00383257307128,Art_Gallery
163,Soho Photo Gallery,POINT (-74.00555633265509 40.718964186297654),15 White St,40.718964186297654,-74.00555633265509,Art_Gallery
164,Soldwedel Kipp,POINT (-73.97074200370785 40.76224192243714),470 Park Ave,40.76224192243714,-73.97074200370785,Art_Gallery
165,Soloman & Co Fine Art Gallerie,POINT (-73.96352461082171 40.77383485220909),959 Madison Ave,40.77383485220909,-73.96352461082171,Art_Gallery
166,Sonnabend Gallery Inc,POINT (-74.00640433268863 40.74753287385608),532 W 22nd St,40.74753287385608,-74.00640433268863,Art_Gallery
167,Soufer Gallery,POINT (-73.96219093364687 40.77578491128998),1015 Madison Ave,40.77578491128998,-73.96219093364687,Art_Gallery
168,Spencer Brownstone Gallery,POINT (-74.0028519546277 40.72259290570126),39 Wooster St.,40.72259290570126,-74.0028519546277,Art_Gallery
169,Sperone Westwater,POINT (-73.99926239580837 40.72544340968263),121 Greene St,40.72544340968263,-73.99926239580837,Art_Gallery
170,Spring,POINT (-73.98739580880391 40.70224827687764),126 Front St,40.70224827687764,-73.98739580880391,Art_Gallery
171,Sragow Ellen Ltd,POINT (-73.99302490428965 40.74652176477976),153 West 27th Street,40.74652176477976,-73.99302490428965,Art_Gallery
172,St Etienne Galerie,POINT (-73.97562840191033 40.76331815027905),24 W 57th St,40.76331815027905,-73.97562840191033,Art_Gallery
173,Staley-Wise Gallery,POINT (-73.9976700930255 40.72388325006023),560 Broadway,40.72388325006023,-73.9976700930255,Art_Gallery
174,Start,POINT (-74.00158103055105 40.7219883380336),50 Greene St,40.7219883380336,-74.00158103055105,Art_Gallery
175,State of Art,POINT (-73.95791517359595 40.73022121777638),113 Franklin St,40.73022121777638,-73.95791517359595,Art_Gallery
176,Steigrad Lawrence Fine Arts,POINT (-73.96622595705455 40.769820128615144),23 E 69th St,40.769820128615144,-73.96622595705455,Art_Gallery
177,Stein Gertrude Gallery,POINT (-73.98049753870134 40.76544488935683),200 West 57th Street,40.76544488935683,-73.98049753870134,Art_Gallery
178,Stephen Downes Gallery,POINT (-73.99647297058152 40.720124872165876),377 Broome St,40.720124872165876,-73.99647297058152,Art_Gallery
179,Stewart Waltzer Co,POINT (-74.00394089705402 40.7287135272124),200 W Houston St,40.7287135272124,-74.00394089705402,Art_Gallery
180,Storefront For Art and Architecture,POINT (-73.9970682973752 40.72147742820455),97 Kenmare St,40.72147742820455,-73.9970682973752,Art_Gallery
181,"Stricoff Fine Art, Ltd.",POINT (-74.0057107770999 40.74989327559004),564 W 25th St,40.74989327559004,-74.0057107770999,Art_Gallery
182,Studio Gallery,POINT (-73.97428548023957 40.78933482906021),205 W 88th St,40.78933482906021,-73.97428548023957,Art_Gallery
183,Studio Tamar,POINT (-73.98429765855359 40.73821552093811),152 E 22nd St,40.73821552093811,-73.98429765855359,Art_Gallery
184,Stux Gallery,POINT (-74.0048091965919 40.74932238784064),530 W 25th St,40.74932238784064,-74.0048091965919,Art_Gallery
185,Sugarhill Arts Center,POINT (-73.94709266575242 40.830220401900085),3658 Broadway,40.830220401900085,-73.94709266575242,Art_Gallery
186,Suite 106,POINT (-73.99892431070742 40.72359612141827),112 Mercer St,40.72359612141827,-73.99892431070742,Art_Gallery
187,Sun Yi Jun,POINT (-73.9953458096245 40.71676281529191),83 Bowery,40.71676281529191,-73.9953458096245,Art_Gallery
188,Susan Aberbach Fine Art,POINT (-73.97168388843812 40.76228904795565),41 E 57th St,40.76228904795565,-73.97168388843812,Art_Gallery
189,Susan Megson Gallery,POINT (-74.00081320910148 40.72624920444544),456 W Broadway,40.72624920444544,-74.00081320910148,Art_Gallery
190,Susan Rolfe Associates Fine Arts Ltd,POINT (-73.9711103443112 40.76448430163076),654 Madison Ave,40.76448430163076,-73.9711103443112,Art_Gallery
191,Susan Sheehan Gallery,POINT (-74.00605481573004 40.747911706928555),535 West 22nd Street,40.747911706928555,-74.00605481573004,Art_Gallery
192,Sutherland M,POINT (-73.96722779023571 40.766960246471086),620 Park Ave,40.766960246471086,-73.96722779023571,Art_Gallery
193,Swiss Institute,POINT (-74.00006289362192 40.72224748487797),495 Broadway,40.72224748487797,-74.00006289362192,Art_Gallery
194,Taglialatella Dominic J,POINT (-74.00394584152615 40.74952510204985),511 West 25th Street,40.74952510204985,-74.00394584152615,Art_Gallery
195,Takako Tsuji Gallery,POINT (-73.97173794165505 40.762212046489296),41 E 57th St,40.762212046489296,-73.97173794165505,Art_Gallery
196,Talwar Gallery,POINT (-73.98882748825802 40.7354581457437),108 E 16th St,40.7354581457437,-73.98882748825802,Art_Gallery
197,Tambaran Gallery,POINT (-73.96139898564891 40.77879668705261),5 E 82nd St,40.77879668705261,-73.96139898564891,Art_Gallery
198,Tang Sarina,POINT (-73.96443413679928 40.774990807616135),3 E 76th St,40.774990807616135,-73.96443413679928,Art_Gallery
199,Tanya Bonakdar Galery,POINT (-74.00619627853678 40.7471718785601),521 W 21st St,40.7471718785601,-74.00619627853678,Art_Gallery
200,Tate,POINT (-74.00618826198466 40.74160876928588),413 W 14th St,40.74160876928588,-74.00618826198466,Art_Gallery
201,Tatistcheff Gallery Inc,POINT (-74.00694992343615 40.746593654628896),529 West 20th Street,40.746593654628896,-74.00694992343615,Art_Gallery
202,Team Gallery,POINT (-74.00393729550223 40.75021954194053),527 W. 26th St.,40.75021954194053,-74.00393729550223,Art_Gallery
203,Teller Susan Gallery,POINT (-73.99746436311553 40.72429065859904),568 Broadway,40.72429065859904,-73.99746436311553,Art_Gallery
204,Tenri Cultural Institute,POINT (-73.99609362076046 40.73640266876522),43A W. 13th St.,40.73640266876522,-73.99609362076046,Art_Gallery
205,Thaw E V & Co,POINT (-73.96487147686322 40.77042622615332),726 Park Ave,40.77042622615332,-73.96487147686322,Art_Gallery
